Tatget Distance: 50, Step Size: 2
651: (x,y) = (-1.4605, -5.25339)
652: (x,y) = (0.380508, -6.03486)
653: (x,y) = (-1.2578, -4.8877)
654: (x,y) = (-2.00701, -3.03334)
655: (x,y) = (-0.165999, -2.25187)
656: (x,y) = (1.4723, -3.39903)
657: (x,y) = (3.06958, -2.1954)
658: (x,y) = (1.43127, -3.34255)
659: (x,y) = (0.431272, -1.6105)
660: (x,y) = (2.08935, -0.492112)
661: (x,y) = (0.830706, -2.0464)
662: (x,y) = (2.50805, -0.957126)
663: (x,y) = (3.44699, 0.808769)
664: (x,y) = (4.62256, -0.809265)
665: (x,y) = (2.82497, -1.68601)
666: (x,y) = (2.85988, -3.6857)
667: (x,y) = (4.22387, -2.22299)
668: (x,y) = (5.61319, -3.66167)
669: (x,y) = (7.48035, -2.94494)
670: (x,y) = (6.96271, -4.87679)
671: (x,y) = (5.43062, -6.16237)
672: (x,y) = (7.04866, -4.98679)
673: (x,y) = (8.51137, -6.35079)
674: (x,y) = (8.89298, -8.31405)
675: (x,y) = (7.12709, -7.3751)
676: (x,y) = (6.44305, -9.25449)
677: (x,y) = (4.78497, -10.3729)
678: (x,y) = (6.51702, -11.3729)
679: (x,y) = (7.29849, -13.2139)
680: (x,y) = (5.70122, -14.4175)
681: (x,y) = (7.55558, -15.1667)
682: (x,y) = (9.39659, -14.3853)
683: (x,y) = (10.7606, -12.9226)
684: (x,y) = (9.79097, -11.1733)
685: (x,y) = (9.6863, -13.1706)
686: (x,y) = (11.4683, -14.0786)
687: (x,y) = (10.3499, -12.4205)
688: (x,y) = (10.7998, -10.4717)
689: (x,y) = (8.80744, -10.6461)
690: (x,y) = (10.8062, -10.5763)
691: (x,y) = (10.1222, -12.4556)
692: (x,y) = (10.7402, -14.3578)
693: (x,y) = (9.50889, -12.7817)
694: (x,y) = (9.89051, -10.8185)
695: (x,y) = (11.2798, -9.3798)
696: (x,y) = (9.31657, -9.76142)
697: (x,y) = (11.2572, -9.27757)
698: (x,y) = (11.2223, -7.27788)
699: (x,y) = (12.685, -8.64187)
700: (x,y) = (14.343, -9.76026)
701: (x,y) = (14.0302, -7.78488)
702: (x,y) = (15.2057, -9.40292)
703: (x,y) = (14.9967, -11.392)
704: (x,y) = (16.2003, -9.79469)
705: (x,y) = (14.6909, -8.48257)
706: (x,y) = (12.8115, -9.16661)
707: (x,y) = (12.1604, -11.0576)
708: (x,y) = (10.2932, -10.3409)
709: (x,y) = (9.84331, -8.39217)
710: (x,y) = (8.81324, -6.67784)
711: (x,y) = (7.58191, -8.25386)
712: (x,y) = (6.14323, -6.86454)
713: (x,y) = (7.90913, -5.9256)
714: (x,y) = (8.9392, -7.63993)
715: (x,y) = (10.8064, -6.9232)
716: (x,y) = (9.54772, -8.47749)
717: (x,y) = (7.72063, -7.66402)
718: (x,y) = (8.97927, -9.21831)
719: (x,y) = (9.69601, -7.35115)
720: (x,y) = (8.66593, -9.06548)
721: (x,y) = (9.97805, -10.5749)
722: (x,y) = (11.9268, -10.125)
723: (x,y) = (13.8674, -10.6088)
724: (x,y) = (11.9268, -10.125)
725: (x,y) = (11.8221, -8.12774)
726: (x,y) = (13.4194, -6.92411)
727: (x,y) = (12.5426, -5.12652)
728: (x,y) = (12.5077, -3.12683)
729: (x,y) = (12.8206, -5.1022)
730: (x,y) = (11.7905, -6.81654)
731: (x,y) = (13.2768, -8.1548)
732: (x,y) = (11.9386, -6.66851)
733: (x,y) = (13.3026, -8.13122)
734: (x,y) = (15.3023, -8.09631)
735: (x,y) = (13.4112, -8.74745)
736: (x,y) = (14.9872, -9.97877)
737: (x,y) = (16.9191, -10.4964)
738: (x,y) = (15.0065, -11.0812)
739: (x,y) = (13.7752, -9.50513)
740: (x,y) = (14.7141, -11.271)
741: (x,y) = (15.027, -13.2464)
742: (x,y) = (16.3125, -11.7143)
743: (x,y) = (14.6742, -12.8615)
744: (x,y) = (16.4235, -11.8918)
745: (x,y) = (16.8393, -13.8481)
746: (x,y) = (17.2892, -15.7969)
747: (x,y) = (17.5329, -13.8118)
748: (x,y) = (19.4892, -13.396)
749: (x,y) = (21.4455, -12.9801)
750: (x,y) = (21.2712, -14.9725)
751: (x,y) = (20.5872, -13.0931)
752: (x,y) = (21.4324, -11.2805)
753: (x,y) = (19.4473, -11.0368)
754: (x,y) = (17.5067, -10.553)
755: (x,y) = (19.463, -10.9688)
756: (x,y) = (17.7857, -9.8795)
757: (x,y) = (17.8904, -11.8768)
758: (x,y) = (16.4762, -10.4625)
759: (x,y) = (16.6505, -12.4549)
760: (x,y) = (16.9288, -10.4744)
761: (x,y) = (15.7532, -8.85636)
762: (x,y) = (14.339, -7.44215)
763: (x,y) = (14.8903, -5.51962)
764: (x,y) = (15.3402, -7.46836)
765: (x,y) = (13.4992, -8.24983)
766: (x,y) = (15.4965, -8.3545)
767: (x,y) = (13.5402, -7.93867)
768: (x,y) = (15.4073, -8.65541)
769: (x,y) = (15.1983, -10.6445)
770: (x,y) = (15.3726, -12.6368)
771: (x,y) = (13.392, -12.9152)
772: (x,y) = (15.2941, -12.2972)
773: (x,y) = (16.0109, -10.43)
774: (x,y) = (18.0097, -10.3602)
775: (x,y) = (19.9118, -9.74216)
776: (x,y) = (19.496, -11.6985)
777: (x,y) = (17.496, -11.6985)
778: (x,y) = (17.2522, -13.6835)
779: (x,y) = (18.2823, -11.9692)
780: (x,y) = (16.285, -12.0739)
781: (x,y) = (14.3625, -11.5226)
782: (x,y) = (16.3476, -11.2789)
783: (x,y) = (14.6895, -10.1605)
784: (x,y) = (13.6595, -11.8748)
785: (x,y) = (14.0753, -13.8311)
786: (x,y) = (12.589, -15.1694)
787: (x,y) = (12.8673, -13.1888)
788: (x,y) = (14.2313, -11.7261)
789: (x,y) = (12.2313, -11.7261)
790: (x,y) = (10.677, -10.4675)
791: (x,y) = (10.1258, -12.39)
792: (x,y) = (10.2653, -10.3949)
793: (x,y) = (11.6546, -8.95621)
794: (x,y) = (9.72274, -9.47385)
795: (x,y) = (10.274, -11.3964)
796: (x,y) = (9.72274, -9.47385)
797: (x,y) = (11.4548, -10.4738)
798: (x,y) = (10.6413, -12.3009)
799: (x,y) = (10.7808, -14.2961)
800: (x,y) = (8.78357, -14.1914)
801: (x,y) = (10.3379, -12.9328)
802: (x,y) = (11.6761, -11.4465)
803: (x,y) = (11.1923, -9.50587)
804: (x,y) = (12.8306, -10.653)
805: (x,y) = (14.5798, -9.68341)
806: (x,y) = (16.4819, -10.3014)
807: (x,y) = (17.9914, -11.6136)
808: (x,y) = (19.7889, -12.4903)
809: (x,y) = (18.5303, -14.0446)
810: (x,y) = (19.993, -12.6806)
811: (x,y) = (18.8459, -11.0423)
812: (x,y) = (17.6703, -9.42426)
813: (x,y) = (17.4612, -11.4133)
814: (x,y) = (15.8229, -10.2661)
815: (x,y) = (13.8241, -10.3359)
816: (x,y) = (13.6846, -12.3311)
817: (x,y) = (15.3427, -13.4495)
818: (x,y) = (17.1971, -12.7002)
819: (x,y) = (15.5588, -11.5531)
820: (x,y) = (17.4813, -12.1044)
821: (x,y) = (16.3341, -10.4661)
822: (x,y) = (18.2252, -11.1172)
823: (x,y) = (16.7389, -9.77894)
824: (x,y) = (18.3569, -8.60337)
825: (x,y) = (20.1695, -9.44861)
826: (x,y) = (18.2377, -9.96625)
827: (x,y) = (17.3297, -8.18423)
828: (x,y) = (18.8618, -6.89866)
829: (x,y) = (20.5391, -5.80938)
830: (x,y) = (18.5828, -5.39356)
831: (x,y) = (20.5816, -5.46336)
832: (x,y) = (19.323, -7.01765)
833: (x,y) = (19.9077, -5.10504)
834: (x,y) = (20.1861, -3.1245)
835: (x,y) = (21.4174, -1.54848)
836: (x,y) = (20.9336, 0.392111)
837: (x,y) = (21.9636, 2.10645)
838: (x,y) = (20.76, 3.70372)
839: (x,y) = (18.869, 3.05258)
840: (x,y) = (19.1818, 1.0772)
841: (x,y) = (17.3147, 1.79394)
842: (x,y) = (18.4039, 0.116598)
843: (x,y) = (16.5913, -0.728638)
844: (x,y) = (17.3081, -2.5958)
845: (x,y) = (17.9921, -4.47518)
846: (x,y) = (17.7138, -2.49465)
847: (x,y) = (15.9645, -1.52503)
848: (x,y) = (16.4484, -3.46562)
849: (x,y) = (18.4481, -3.50053)
850: (x,y) = (16.6354, -2.65529)
851: (x,y) = (18.576, -3.13913)
852: (x,y) = (17.6993, -1.34154)
853: (x,y) = (16.8226, 0.456044)
854: (x,y) = (18.4406, -0.719527)
855: (x,y) = (20.4357, -0.85904)
856: (x,y) = (19.2321, 0.738231)
857: (x,y) = (18.8505, -1.22502)
858: (x,y) = (18.711, -3.22015)
859: (x,y) = (16.7547, -2.80433)
860: (x,y) = (18.0133, -1.25004)
861: (x,y) = (20.013, -1.28494)
862: (x,y) = (22.0081, -1.42445)
863: (x,y) = (20.013, -1.56397)
864: (x,y) = (21.2986, -3.09606)
865: (x,y) = (20.6805, -4.99817)
866: (x,y) = (20.3677, -3.02279)
867: (x,y) = (20.3677, -1.02279)
868: (x,y) = (19.2493, 0.635283)
869: (x,y) = (17.9906, -0.919008)
870: (x,y) = (16.0343, -1.33483)
871: (x,y) = (17.3199, 0.197257)
872: (x,y) = (17.285, -1.80244)
873: (x,y) = (19.1761, -2.45357)
874: (x,y) = (18.5249, -4.34461)
875: (x,y) = (16.6705, -3.5954)
876: (x,y) = (17.2553, -5.50801)
877: (x,y) = (17.0116, -7.4931)
878: (x,y) = (16.872, -9.48823)
879: (x,y) = (18.8611, -9.69729)
880: (x,y) = (20.3474, -8.35902)
881: (x,y) = (22.0435, -7.29919)
882: (x,y) = (24.0131, -6.95189)
883: (x,y) = (25.9694, -7.36771)
884: (x,y) = (27.3076, -5.88142)
885: (x,y) = (25.4533, -5.13221)
886: (x,y) = (25.3486, -3.13495)
887: (x,y) = (27.3459, -3.23962)
888: (x,y) = (28.6314, -1.70753)
889: (x,y) = (26.639, -1.53322)
890: (x,y) = (26.3607, -3.51376)
891: (x,y) = (24.7427, -2.33819)
892: (x,y) = (26.5403, -3.21493)
893: (x,y) = (24.6992, -2.43347)
894: (x,y) = (26.3173, -1.2579)
895: (x,y) = (28.3097, -1.43221)
896: (x,y) = (28.1354, 0.56018)
897: (x,y) = (26.458, 1.64946)
898: (x,y) = (28.1541, 0.58962)
899: (x,y) = (26.6447, 1.90174)
900: (x,y) = (26.7494, -0.0955211)
901: (x,y) = (26.0002, 1.75885)
902: (x,y) = (26.8769, 3.55643)
903: (x,y) = (27.3268, 5.50517)
904: (x,y) = (28.8362, 6.81729)
905: (x,y) = (29.0453, 8.80634)
906: (x,y) = (31.0304, 8.5626)
907: (x,y) = (31.8756, 6.74998)
908: (x,y) = (32.7836, 8.532)
909: (x,y) = (30.814, 8.87929)
910: (x,y) = (29.0819, 9.87929)
911: (x,y) = (29.5318, 7.93055)
912: (x,y) = (27.5686, 7.54893)
913: (x,y) = (25.5795, 7.75799)
914: (x,y) = (23.5807, 7.68819)
915: (x,y) = (23.5807, 9.68819)
916: (x,y) = (22.864, 11.5554)
917: (x,y) = (21.1867, 10.4661)
918: (x,y) = (23.1499, 10.0845)
919: (x,y) = (21.7112, 11.4738)
920: (x,y) = (23.7064, 11.3343)
921: (x,y) = (25.6696, 10.9526)
922: (x,y) = (26.1873, 9.02079)
923: (x,y) = (24.1876, 8.98589)
924: (x,y) = (22.5295, 7.8675)
925: (x,y) = (22.5644, 5.8678)
926: (x,y) = (22.2515, 7.84318)
927: (x,y) = (24.2321, 7.56484)
928: (x,y) = (24.4064, 9.55722)
929: (x,y) = (22.5043, 8.93919)
930: (x,y) = (21.0656, 10.3285)
931: (x,y) = (22.4549, 8.88983)
932: (x,y) = (24.44, 8.64609)
933: (x,y) = (23.44, 6.91404)
934: (x,y) = (21.4912, 6.46414)
935: (x,y) = (19.6937, 7.34088)
936: (x,y) = (20.6633, 5.59164)
937: (x,y) = (20.5586, 3.59438)
938: (x,y) = (21.2426, 1.71499)
939: (x,y) = (20.3659, 3.51258)
940: (x,y) = (20.053, 5.48796)
941: (x,y) = (20.3659, 7.46334)
942: (x,y) = (19.427, 9.22923)
943: (x,y) = (19.0111, 11.1855)
944: (x,y) = (20.4738, 12.5495)
945: (x,y) = (19.2702, 14.1468)
946: (x,y) = (17.5929, 13.0575)
947: (x,y) = (19.2109, 14.2331)
948: (x,y) = (20.1805, 12.4838)
949: (x,y) = (20.7986, 10.5817)
950: (x,y) = (20.2138, 12.4943)
951: (x,y) = (22.0682, 13.2436)
952: (x,y) = (23.0071, 15.0095)
953: (x,y) = (21.2928, 16.0395)
954: (x,y) = (21.2579, 14.0398)
955: (x,y) = (19.5258, 15.0398)
956: (x,y) = (21.4664, 15.5237)
957: (x,y) = (23.2323, 16.4626)
958: (x,y) = (22.8165, 18.4189)
959: (x,y) = (24.0201, 20.0162)
960: (x,y) = (25.4828, 21.3802)
961: (x,y) = (24.1707, 19.8708)
962: (x,y) = (22.9951, 18.2527)
963: (x,y) = (21.9353, 19.9488)
964: (x,y) = (21.7958, 21.944)
965: (x,y) = (20.0997, 23.0038)
966: (x,y) = (21.4118, 24.5132)
967: (x,y) = (23.0299, 23.3376)
968: (x,y) = (24.8569, 22.5242)
969: (x,y) = (23.3475, 23.8363)
970: (x,y) = (22.0354, 22.3269)
971: (x,y) = (20.0791, 21.911)
972: (x,y) = (19.3951, 23.7904)
973: (x,y) = (21.2222, 24.6039)
974: (x,y) = (20.4087, 22.7768)
975: (x,y) = (18.8327, 24.0081)
976: (x,y) = (20.7959, 23.6265)
977: (x,y) = (22.7956, 23.6614)
978: (x,y) = (24.3716, 22.4301)
979: (x,y) = (23.4327, 24.196)
980: (x,y) = (24.1819, 22.3416)
981: (x,y) = (24.9954, 20.5145)
982: (x,y) = (26.6915, 19.4547)
983: (x,y) = (27.3095, 21.3568)
984: (x,y) = (25.3144, 21.4963)
985: (x,y) = (27.127, 20.6511)
986: (x,y) = (28.703, 19.4198)
987: (x,y) = (27.2888, 18.0055)
988: (x,y) = (26.5721, 16.1384)
989: (x,y) = (28.3041, 17.1384)
990: (x,y) = (26.646, 16.02)
991: (x,y) = (25.114, 14.7344)
992: (x,y) = (24.8702, 16.7195)
993: (x,y) = (23.6666, 15.1222)
994: (x,y) = (22.0486, 16.2978)
995: (x,y) = (21.6669, 14.3346)
996: (x,y) = (23.652, 14.5783)
997: (x,y) = (25.1841, 13.2927)
998: (x,y) = (27.0251, 12.5113)
999: (x,y) = (29.0102, 12.755)
1000: (x,y) = (30.9908, 12.4767)
1001: (x,y) = (31.5755, 10.564)
1002: (x,y) = (30.6059, 12.3133)
1003: (x,y) = (32.0922, 13.6515)
1004: (x,y) = (33.9193, 12.8381)
1005: (x,y) = (35.9144, 12.9776)
1006: (x,y) = (33.9171, 12.8729)
1007: (x,y) = (35.4034, 11.5347)
1008: (x,y) = (34.8187, 9.62205)
1009: (x,y) = (35.9371, 7.96397)
1010: (x,y) = (37.9322, 8.10348)
1011: (x,y) = (36.6201, 6.59406)
1012: (x,y) = (38.5426, 6.04279)
1013: (x,y) = (36.5672, 6.35566)
1014: (x,y) = (34.9289, 7.50281)
1015: (x,y) = (36.3676, 6.11349)
1016: (x,y) = (34.7293, 7.26065)
1017: (x,y) = (32.732, 7.15598)
1018: (x,y) = (30.8194, 7.74072)
1019: (x,y) = (29.0874, 8.74072)
1020: (x,y) = (31.0846, 8.63605)
1021: (x,y) = (30.6008, 10.5766)
1022: (x,y) = (31.6606, 8.88054)
1023: (x,y) = (33.4265, 9.81949)
1024: (x,y) = (35.1586, 8.81949)
1025: (x,y) = (34.7427, 6.86319)
1026: (x,y) = (36.4571, 7.89327)
1027: (x,y) = (38.3481, 8.5444)
1028: (x,y) = (38.4179, 6.54562)
1029: (x,y) = (36.4425, 6.85849)
1030: (x,y) = (34.5754, 6.14175)
1031: (x,y) = (33.3998, 7.75979)
1032: (x,y) = (32.4302, 9.50903)
1033: (x,y) = (34.1961, 8.57008)
1034: (x,y) = (34.8141, 6.66797)
1035: (x,y) = (33.8752, 8.43387)
1036: (x,y) = (33.4253, 10.3826)
1037: (x,y) = (35.2924, 9.66587)
1038: (x,y) = (34.4472, 11.4785)
1039: (x,y) = (35.1639, 9.61133)
1040: (x,y) = (34.256, 11.3933)
1041: (x,y) = (34.6032, 9.42372)
1042: (x,y) = (33.3996, 7.82645)
1043: (x,y) = (32.9838, 5.87016)
1044: (x,y) = (31.3658, 4.69459)
1045: (x,y) = (30.649, 2.82743)
1046: (x,y) = (32.3451, 1.76759)
1047: (x,y) = (30.3479, 1.87226)
1048: (x,y) = (30.4177, -0.126522)
1049: (x,y) = (32.3198, -0.744556)
1050: (x,y) = (33.1332, -2.57165)
1051: (x,y) = (31.4559, -3.66093)
1052: (x,y) = (33.3784, -4.2122)
1053: (x,y) = (34.3481, -5.96144)
1054: (x,y) = (36.3432, -6.10095)
1055: (x,y) = (36.9279, -8.01356)
1056: (x,y) = (35.8681, -6.31747)
1057: (x,y) = (34.4788, -7.75615)
1058: (x,y) = (32.48, -7.82594)
1059: (x,y) = (32.48, -5.82594)
1060: (x,y) = (31.541, -7.59184)
1061: (x,y) = (33.5301, -7.38278)
1062: (x,y) = (35.4619, -7.90042)
1063: (x,y) = (36.3699, -9.68243)
1064: (x,y) = (34.4789, -10.3336)
1065: (x,y) = (36.4107, -10.8512)
1066: (x,y) = (37.3497, -12.6171)
1067: (x,y) = (39.1768, -11.8036)
1068: (x,y) = (41.1755, -11.8734)
1069: (x,y) = (41.8596, -13.7528)
1070: (x,y) = (43.1979, -15.2391)
1071: (x,y) = (41.5595, -16.3863)
1072: (x,y) = (43.4617, -15.7682)
1073: (x,y) = (41.8856, -16.9995)
1074: (x,y) = (42.0599, -15.0072)
1075: (x,y) = (40.696, -13.5444)
1076: (x,y) = (41.2136, -15.4763)
1077: (x,y) = (43.093, -16.1603)
1078: (x,y) = (41.0942, -16.0905)
1079: (x,y) = (42.9486, -15.3413)
1080: (x,y) = (41.008, -15.8252)
1081: (x,y) = (42.79, -14.9172)
1082: (x,y) = (42.9295, -16.9123)
1083: (x,y) = (41.4908, -18.3016)
1084: (x,y) = (42.6664, -16.6836)
1085: (x,y) = (42.7013, -18.6833)
1086: (x,y) = (42.1837, -20.6151)
1087: (x,y) = (44.1155, -20.0975)
1088: (x,y) = (45.5048, -18.6588)
After 1089 steps ,the subject has the following location:
(x,y) = (46.3183, -20.4859)
 or
(m,a) = (50.6464, -23.8591)
Average outward distance per step = 0.0465073
